# timestamp tx ty tz qx qy qz qw
1.403638518077829361e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.626838540801538516e-02 -8.345547233196137782e-01 0.000000000000000000e+00 5.506848040586731496e-01
1.403638518127829552e+09 3.164634108543395996e-06 3.669090801849961281e-06 5.680415779352188110e-05 -1.630016268741968366e-02 -8.345649440519842255e-01 5.542731873605159337e-05 5.506683718752007906e-01
1.403638518177829504e+09 8.487684681313112378e-06 5.946448072791099548e-05 1.408467069268226624e-04 -1.632165148457362727e-02 -8.345640223481896047e-01 8.491088294699252294e-05 5.506691285018333604e-01
1.403638518227829695e+09 2.625948582135606557e-06 1.856716116890311241e-04 2.199485898017883301e-04 -1.630291304869016522e-02 -8.345666333905886747e-01 1.025692885201203250e-04 5.506657234082822372e-01
1.403638518277829409e+09 -2.288987452629953623e-04 8.389482973143458366e-04 -3.346727753523737192e-04 -1.382519096117986075e-02 -8.352623480115538568e-01 -3.663320719618641443e-03 5.496655839421072942e-01
1.403638518327829599e+09 4.470653366297483444e-04 1.034384127706289291e-03 4.106336564291268587e-04 -1.410413995899348870e-02 -8.344394545630788862e-01 -3.169788273285255743e-03 5.509099947784494855e-01
1.403638518377829552e+09 -2.855539241863880306e-05 3.290615277364850044e-04 7.110590813681483269e-04 -1.505917148716649778e-02 -8.347500697179994766e-01 -1.818191289397859227e-03 5.504200547221642648e-01
1.403638518427829504e+09 -4.510622529778629541e-04 4.134349001105874777e-04 8.684251806698739529e-04 -1.543226935953675993e-02 -8.357173229925990432e-01 -1.279257008984551825e-03 5.489414947095944131e-01
1.403638518477829456e+09 -1.339728478342294693e-04 1.059416797943413258e-03 4.963803221471607685e-04 -1.680517982863928561e-02 -8.345648850713344169e-01 8.819970169011103183e-04 5.506525770556781607e-01
1.403638518527829647e+09 5.648241494782269001e-04 6.654806202277541161e-04 5.818481440655887127e-04 -1.632334335387018026e-02 -8.332061634654883697e-01 1.846089273761821728e-04 5.527214520392867980e-01
1.403638518577829361e+09 2.706704544834792614e-04 5.481349653564393520e-04 3.538201272021979094e-04 -1.598476326978460690e-02 -8.339893644355812485e-01 -3.753678073813175500e-04 5.515488069523435399e-01
1.403638518627829552e+09 4.609932366292923689e-04 8.415867923758924007e-04 3.363473806530237198e-04 -1.588196204391321628e-02 -8.341611678673743757e-01 -5.236433595653932618e-04 5.512917876237644066e-01
1.403638518677829504e+09 3.733244957402348518e-04 7.703269948251545429e-04 6.258083740249276161e-04 -1.599010265680881823e-02 -8.341161009088060574e-01 -3.705671695807101289e-04 5.513569710284692560e-01
1.403638518727829695e+09 4.259136767359450459e-05 2.052438649116083980e-04 8.176336414180696011e-04 -1.576522176408236969e-02 -8.344297395615423163e-01 -7.843173794851979099e-04 5.508882394499218238e-01
1.403638518777829409e+09 -2.366918924963101745e-04 -5.713415521313436329e-05 8.924609282985329628e-04 -1.553636937488147261e-02 -8.344926033425817957e-01 -1.173128345153477692e-03 5.507988198635264121e-01
1.403638518827829599e+09 -4.484697419684380293e-04 -5.311965287546627223e-05 8.407344575971364975e-04 -1.547358013795505950e-02 -8.345855053095205811e-01 -1.228941309615950604e-03 5.506596883268504161e-01
1.403638518877829552e+09 -5.989186465740203857e-04 6.425414903787896037e-05 4.714266688097268343e-04 -1.557192357803255031e-02 -8.345782570058714045e-01 -1.042093010584289750e-03 5.506682868762997618e-01
1.403638518927829504e+09 -6.113499985076487064e-04 -2.951494825538247824e-04 2.809004508890211582e-04 -1.568464288470998794e-02 -8.344856630810675302e-01 -8.933844593800144935e-04 5.508056571549878599e-01
1.403638518977829456e+09 -4.781078023370355368e-04 -1.571366738062351942e-04 6.335129146464169025e-04 -1.567003270567454004e-02 -8.345150699347864132e-01 -9.375313832956655175e-04 5.507614448757710557e-01
1.403638519027829647e+09 -2.420472301309928298e-04 -4.783274198416620493e-05 8.517535170540213585e-04 -1.572110805092518521e-02 -8.345064738150933525e-01 -8.354059739878339635e-04 5.507731783767332301e-01
1.403638519077829361e+09 -4.762046155519783497e-04 -4.125560371903702617e-05 8.572040242142975330e-04 -1.570182386110174563e-02 -8.346006371652071598e-01 -8.842481237617347148e-04 5.506309537940280441e-01
1.403638519127829552e+09 -5.688325036317110062e-04 -2.349910355405882001e-04 -1.384750939905643463e-04 -1.565998493917054521e-02 -8.345990177624077466e-01 -9.652338228812971932e-04 5.506344638191441598e-01
1.403638519177829504e+09 -7.573609473183751106e-04 -3.107039083261042833e-04 -4.574947524815797806e-04 -1.562722593689302303e-02 -8.345965783621667189e-01 -1.029017619201168980e-03 5.506389763887226119e-01
1.403638519227829695e+09 -5.597546696662902832e-04 2.882329572457820177e-04 -3.956506843678653240e-04 -1.556608032505859759e-02 -8.346171119804480787e-01 -1.067203669250997794e-03 5.506095119129874593e-01
1.403638519277829409e+09 -3.232590388506650925e-04 3.669329453259706497e-04 -2.719486656133085489e-04 -1.555083226264213081e-02 -8.345928883606863469e-01 -1.082374067312877374e-03 5.506466296819444439e-01
1.403638519327829599e+09 -3.446462797001004219e-04 2.259417378809303045e-04 -5.885406862944364548e-04 -1.556770639659583837e-02 -8.345783776943653809e-01 -1.060054074281434463e-03 5.506681889195618185e-01
1.403638519377829552e+09 -5.235342541709542274e-04 -6.296121864579617977e-04 -5.395459593273699284e-04 -1.556691655067574814e-02 -8.346332593683170042e-01 -1.127218552368034919e-03 5.505848915868097881e-01
1.403638519427829504e+09 -6.658936035819351673e-04 -7.936672773212194443e-04 -7.986777927726507187e-04 -1.553835423136538073e-02 -8.346241715493818436e-01 -1.155048526696777654e-03 5.505994167052753463e-01
1.403638519477829456e+09 -9.085708297789096832e-04 -8.931058691814541817e-04 -8.309562690556049347e-04 -1.555934619173286043e-02 -8.346381067618507954e-01 -1.129897062278421285e-03 5.505777518386550939e-01
1.403638519527829647e+09 -7.066887919791042805e-04 -2.402740356046706438e-04 -6.297253421507775784e-04 -1.556370407148925314e-02 -8.346323965939698164e-01 -1.101297559079353122e-03 5.505863427429595891e-01
1.403638519577829361e+09 -8.405277621932327747e-04 -1.572312612552195787e-06 -5.997339030727744102e-04 -1.556750948508722233e-02 -8.346260204817126382e-01 -1.050548746251697479e-03 5.505959997408474971e-01
1.403638519627829552e+09 -7.791775278747081757e-04 6.087742804083973169e-05 -5.143010639585554600e-07 -1.558642479672458364e-02 -8.346203660787048229e-01 -1.042195956933219614e-03 5.506040516707919608e-01
1.403638519677829504e+09 -8.658880251459777355e-04 -6.075489000068046153e-05 -1.829753018682822585e-04 -1.560320862302396437e-02 -8.346229733660897043e-01 -1.027819154335917872e-03 5.505996511059552123e-01
1.403638519727829695e+09 -8.673314005136489868e-04 -2.962689904961735010e-05 -4.699194105342030525e-04 -1.562353252321529822e-02 -8.346052421967448121e-01 -9.585889825514886482e-04 5.506260764224405468e-01
1.403638519777829409e+09 -8.054288337007164955e-04 -5.262802733341231942e-05 -1.320035895332694054e-03 -1.566136569621498498e-02 -8.345819994562271305e-01 -9.225829507485340704e-04 5.506602915127206677e-01
1.403638519827829599e+09 -6.899296422488987446e-04 -9.558394231135025620e-05 -1.538449898362159729e-03 -1.564607901847703958e-02 -8.345818233322026547e-01 -9.825135011352346178e-04 5.506608893339564048e-01
1.403638519877829552e+09 -5.033117486163973808e-04 -2.591222873888909817e-04 -1.595227280631661415e-03 -1.565825453908892273e-02 -8.345824475197922698e-01 -9.714410872177414637e-04 5.506596168767747823e-01
1.403638519927829504e+09 -6.534024141728878021e-04 -4.233159124851226807e-04 -1.490110415033996105e-03 -1.566329321200578620e-02 -8.345711342616135564e-01 -9.758297252948855633e-04 5.506766118688769529e-01
1.403638519977829456e+09 -7.901942590251564980e-04 -6.796233938075602055e-04 -8.749127737246453762e-04 -1.567106319865199313e-02 -8.345850101592372505e-01 -9.394545331385665459e-04 5.506554240365837405e-01
1.403638520027829647e+09 -9.707463323138654232e-04 -7.067766855470836163e-04 -9.021273581311106682e-04 -1.571319902718301686e-02 -8.345826361829763451e-01 -8.953255062247719373e-04 5.506578948407474527e-01
1.403638520077829361e+09 -8.203258621506392956e-04 -4.914923338219523430e-04 -9.338467498309910297e-04 -1.570903986714294528e-02 -8.345660131994351305e-01 -9.165994810564325737e-04 5.506831716370532703e-01
1.403638520127829552e+09 -8.286378579214215279e-04 -2.187848731409758329e-04 -9.737447253428399563e-04 -1.568886705671773338e-02 -8.345706228455608278e-01 -9.007114376019843827e-04 5.506767869200184240e-01
1.403638520177829504e+09 -8.854105253703892231e-04 -2.873642370104789734e-04 -9.879448916763067245e-04 -1.568551730137493841e-02 -8.345937707852163490e-01 -9.161450993468184690e-04 5.506417737437462323e-01
1.403638520227829695e+09 -9.545980137772858143e-04 -3.593770088627934456e-04 -1.099513610824942589e-03 -1.568455482451946992e-02 -8.345903609859682826e-01 -9.148114247770298144e-04 5.506469714883802657e-01
1.403638520277829409e+09 -1.094666076824069023e-03 -3.485947381705045700e-04 -1.189515576697885990e-03 -1.569316092096149223e-02 -8.345915294578188925e-01 -9.067160013164200739e-04 5.506449686718845049e-01
1.403638520327829599e+09 -1.139529864303767681e-03 -2.347893314436078072e-04 -1.184066524729132652e-03 -1.567535418754143622e-02 -8.345697819303313780e-01 -8.848611879824772649e-04 5.506784718695042491e-01
