1403715274312143104,0.00008,-0.00015,-0.00016,0.01318,0.82980,-0.00905,0.55784,-0.00024,0.00106,0.00214,
1403715274412143104,-0.00002,-0.00014,-0.00020,0.01338,0.82980,-0.00905,0.55782,-0.00090,-0.00983,0.00251,
1403715274512142848,-0.00003,-0.00010,-0.00031,0.01334,0.82972,-0.00874,0.55795,-0.00032,-0.00471,0.00034,
1403715274612143104,-0.00012,0.00008,-0.00052,0.01312,0.82970,-0.00857,0.55800,0.00158,0.00860,-0.00196,
1403715274712142848,-0.00012,0.00035,-0.00069,0.01318,0.82951,-0.00849,0.55826,0.00086,0.00797,0.00108,
1403715274812143104,-0.00010,0.00057,-0.00074,0.01336,0.82951,-0.00860,0.55826,0.00100,0.00568,-0.00163,
1403715274912143104,-0.00026,0.00074,-0.00079,0.01329,0.82948,-0.00853,0.55832,0.00184,0.00602,-0.00085,
1403715275012142848,-0.00037,0.00119,-0.00119,0.01311,0.82947,-0.00847,0.55834,-0.00057,0.00496,0.00030,
1403715275112143104,-0.00022,0.00091,-0.00079,0.01305,0.82949,-0.00845,0.55831,0.00048,0.00359,0.00128,
1403715275212142848,-0.00029,0.00105,-0.00088,0.01307,0.82947,-0.00840,0.55833,-0.00043,0.00298,0.00237,
1403715275312143104,-0.00033,0.00103,-0.00102,0.01297,0.82948,-0.00843,0.55833,-0.00040,0.00318,0.00072,
1403715275412143104,-0.00034,0.00098,-0.00098,0.01295,0.82951,-0.00834,0.55828,-0.00069,0.00368,0.00091,
1403715275512142848,-0.00041,0.00093,-0.00101,0.01299,0.82949,-0.00835,0.55831,-0.00072,0.00227,0.00168,
1403715275612143104,-0.00045,0.00106,-0.00108,0.01301,0.82950,-0.00839,0.55829,-0.00178,0.00199,0.00066,
1403715275712142848,-0.00041,0.00107,-0.00107,0.01294,0.82952,-0.00834,0.55826,-0.00085,0.00351,-0.00025,
1403715275812143104,-0.00032,0.00088,-0.00069,0.01296,0.82954,-0.00839,0.55823,-0.00176,0.00151,0.00127,
1403715275912143104,-0.00038,0.00090,-0.00062,0.01300,0.82937,-0.00841,0.55848,-0.00298,0.00221,0.00297,
1403715276012142848,-0.00046,0.00125,-0.00056,0.01307,0.82900,-0.00853,0.55904,-0.00179,0.00087,0.00183,
1403715276112143104,-0.00012,0.00111,-0.00105,0.01310,0.82934,-0.00846,0.55853,-0.00198,-0.00087,-0.00203,
1403715276212142848,-0.00017,0.00086,-0.00062,0.01313,0.82935,-0.00845,0.55851,-0.00256,0.00029,-0.00003,
1403715276312143104,-0.00020,0.00082,-0.00072,0.01310,0.82941,-0.00852,0.55842,-0.00189,-0.00021,-0.00114,
1403715276412143104,-0.00028,0.00094,-0.00077,0.01309,0.82947,-0.00850,0.55834,-0.00197,0.00219,0.00052,
1403715276512142848,-0.00026,0.00061,-0.00052,0.01300,0.82921,-0.00848,0.55872,-0.00581,-0.00318,0.00527,
1403715276612143104,-0.00021,0.00043,-0.00039,0.01318,0.82940,-0.00860,0.55843,0.00051,0.00169,-0.00444,
1403715276712142848,-0.00046,0.00077,-0.00094,0.01316,0.82930,-0.00851,0.55858,-0.00466,0.00097,0.00182,
1403715276812143104,-0.00040,0.00073,-0.00065,0.01308,0.82927,-0.00861,0.55863,0.00325,-0.00082,0.00013,
1403715276912143104,-0.00033,0.00055,-0.00088,0.01294,0.82902,-0.00854,0.55900,0.00065,0.00556,-0.00265,
1403715277012142848,-0.00038,0.00037,-0.00043,0.01289,0.82879,-0.00855,0.55935,-0.00061,-0.00582,0.00010,
1403715277112143104,-0.00030,-0.00025,-0.00054,0.01306,0.82886,-0.00851,0.55923,-0.00088,-0.00198,-0.00331,
1403715277212142848,-0.00077,-0.00029,-0.00056,0.01287,0.82891,-0.00864,0.55916,-0.02092,-0.00124,-0.00309,
1403715277312143104,-0.00114,-0.00028,-0.00003,0.01318,0.82909,-0.00888,0.55889,-0.01949,0.00067,-0.00461,
1403715277412143104,-0.00158,-0.00111,0.00083,0.01318,0.82895,-0.00876,0.55910,-0.02552,-0.00765,-0.01046,
1403715277512142848,0.00033,-0.00135,0.00175,0.01350,0.82879,-0.00930,0.55932,-0.01078,-0.00556,-0.00247,
1403715277612143104,0.00065,-0.00149,0.00202,0.01359,0.82862,-0.00932,0.55956,-0.00657,-0.01140,-0.01394,
1403715277712142848,0.00082,-0.00136,0.00262,0.01364,0.82849,-0.00958,0.55975,-0.01119,-0.00974,-0.00359,
1403715277812143104,0.00082,-0.00123,0.00316,0.01406,0.82826,-0.00953,0.56008,-0.01030,-0.01289,-0.01469,
1403715277912143104,0.00076,-0.00141,0.00310,0.01435,0.82827,-0.00971,0.56006,-0.00957,-0.01351,-0.00670,
1403715278012142848,0.00100,-0.00145,0.00360,0.01404,0.82814,-0.01009,0.56026,-0.00407,-0.01489,-0.00974,
1403715278112143104,0.00097,-0.00114,0.00389,0.01444,0.82770,-0.01007,0.56089,-0.00418,-0.01020,0.00064,
